ISO3, country, income_level, region
AFG,Afghanistan,Low income,Eastern Mediterranean
ALB,Albania,Upper middle income,Europe
DZA,Algeria,Lower middle income,Africa
ASM,American Samoa,Upper middle income,Western Pacific
AND,Andorra,High income,Europe
AGO,Angola,Lower middle income,Africa
AIA,Anguilla,High income,America
ATG,Antigua and Barbuda,High income,America
ARG,Argentina,Upper middle income,America
ARM,Armenia,Upper middle income,Europe
ABW,Aruba,High income,America
AUS,Australia,High income,Western Pacific
AUT,Austria,High income,Europe
AZE,Azerbaijan,Upper middle income,Europe
BHS,"Bahamas, The",High income,America
BHR,Bahrain,High income,Eastern Mediterranean
BGD,Bangladesh,Lower middle income,South-East Asia
BRB,Barbados,High income,America
BLR,Belarus,Upper middle income,Europe
BEL,Belgium,High income,Europe
BLZ,Belize,Lower middle income,America
BEN,Benin,Lower middle income,Africa
BMU,Bermuda,High income,America
BTN,Bhutan,Lower middle income,South-East Asia
BOL,Bolivia,Lower middle income,America
BIH,Bosnia and Herzegovina,Upper middle income,Europe
BWA,Botswana,Upper middle income,Africa
BRA,Brazil,Upper middle income,America
IOT,British Virgin Islands,High income,America
BRN,Brunei Darussalam,High income,
VGB,Brunei Darussalam,High income,Western Pacific
BGR,Bulgaria,Upper middle income,Europe
BFA,Burkina Faso,Low income,Africa
BDI,Burundi,Low income,Africa
CPV,Cabo Verde,Lower middle income,Africa
KHM,Cambodia,Lower middle income,Western Pacific
CMR,Cameroon,Lower middle income,Africa
CAN,Canada,High income,America
CYM,Cayman Islands,High income,America
CAF,Central African Republic,Low income,Africa
TCD,Chad,Low income,Africa
CHL,Chile,High income,America
CHN,China,Upper middle income,Western Pacific
COL,Colombia,Upper middle income,America
COM,Comoros,Lower middle income,Africa
ZAR,"Congo, Dem. Rep.",Low income,Africa
COK,Cook Islands,High income,
COG,"Congo, Rep.",Lower middle income,Africa
COD,Democratic Republic of the Congo,Low income,
CRI,Costa Rica,Upper middle income,America
CIV,Cote d'Ivoire,Lower middle income,Africa
HRV,Croatia,High income,Europe
CUB,Cuba,Upper middle income,America
CUW,Curacao,High income,America
CYP,Cyprus,High income,Europe
CZE,Czech Republic,High income,Europe
DNK,Denmark,High income,Europe
DJI,Djibouti,Lower middle income,Eastern Mediterranean
DMA,Dominica,Upper middle income,America
DOM,Dominican Republic,Upper middle income,America
ECU,Ecuador,Upper middle income,America
EGY,"Egypt, Arab Rep.",Lower middle income,Eastern Mediterranean
SLV,El Salvador,Lower middle income,America
GNQ,Equatorial Guinea,Upper middle income,Africa
ERI,Eritrea,Low income,Africa
EST,Estonia,High income,Europe
SWZ,Eswatini,Lower middle income,Africa
ETH,Ethiopia,Low income,Africa
FLK,Falkland Islands (Malvinas),High income,
FRO,Faeroe Islands,High income,
FJI,Fiji,Upper middle income,Western Pacific
FIN,Finland,High income,Europe
FRA,France,High income,Europe
PYF,French Polynesia,High income,
GAB,Gabon,Upper middle income,Africa
GMB,"Gambia, The",Low income,Africa
GEO,Georgia,Upper middle income,Europe
DEU,Germany,High income,Europe
GHA,Ghana,Lower middle income,Africa
GIB,Gibraltar,High income,
GRC,Greece,High income,Europe
GRL,Greenland,High income,
GRD,Grenada,Upper middle income,America
GUM,Guam,High income,
GTM,Guatemala,Upper middle income,America
GIN,Guinea,Low income,Africa
GNB,Guinea-Bissau,Low income,Africa
GUY,Guyana,Upper middle income,America
HTI,Haiti,Lower middle income,America
HND,Honduras,Lower middle income,America
HKG,"Hong Kong SAR, China",High income,
HUN,Hungary,High income,Europe
ISL,Iceland,High income,Europe
IND ,India,Lower middle income,South-East Asia
IDN,Indonesia,Lower middle income,
IRN,"Iran, Islamic Rep.",Lower middle income,Eastern Mediterranean
IRQ,Iraq,Upper middle income,Eastern Mediterranean
IRL,Ireland,High income,Europe
IMN,Isle of Man,High income,Europe
ISR,Israel,High income,Europe
ITA,Italy,High income,Europe
JAM,Jamaica,Upper middle income,America
JPN,Japan,High income,Western Pacific
JOR,Jordan,Upper middle income,Eastern Mediterranean
KAZ,Kazakhstan,Upper middle income,Europe
KEN,Kenya,Lower middle income,Africa
KIR,Kiribati,Lower middle income,Western Pacific
PRK,"Korea, Dem. Rep.",Low income,Western Pacific
KOR,"Korea, Rep.",High income,Western Pacific
XKX,Kosovo,Upper middle income,
KWT,Kuwait,High income,Eastern Mediterranean
KGZ,Kyrgyz Republic,Lower middle income,
LAO,Lao PDR,Lower middle income,Western Pacific
LVA,Latvia,High income,Europe
LBN,Lebanon,Upper middle income,Eastern Mediterranean
LSO,Lesotho,Lower middle income,Africa
LBR,Liberia,Low income,Africa
LBY,Libya,Upper middle income,Eastern Mediterranean
LIE,Liechtenstein,High income,
LTU,Lithuania,High income,Europe
LUX,Luxembourg,High income,Europe
MAC,"Macao SAR, China",High income,Western Pacific
MDG,Madagascar,Low income,Africa
MWI,Malawi,Low income,Africa
MYS,Malaysia,Upper middle income,Western Pacific
MDV,Maldives,Upper middle income,South-East Asia
MLI,Mali,Low income,Africa
MLT,Malta,High income,Europe
MHL,Marshall Islands,Upper middle income,Western Pacific
MRT,Mauritania,Lower middle income,Africa
MUS,Mauritius,Upper middle income,Africa
MEX,Mexico,Upper middle income,America
FSM,"Micronesia, Fed. Sts.",Lower middle income,Western Pacific
MDA,Moldova,Upper middle income,Europe
MCO,Monaco,High income,Europe
MNG,Mongolia,Lower middle income,Western Pacific
MNE,Montenegro,Upper middle income,Europe
MAR,Morocco,Lower middle income,Eastern Mediterranean
MOZ,Mozambique,Low income,Africa
MMR,Myanmar,Lower middle income,
NAM ,Namibia,Upper middle income,Africa
NRU,Nauru,High income,Western Pacific
NPL,Nepal,Lower middle income,
NLD,Netherlands,High income,Europe
NCL,New Caledonia,High income,
NZL,New Zealand,High income,Western Pacific
NIC,Nicaragua,Lower middle income,America
NER,Niger,Low income,Africa
NGA,Nigeria,Lower middle income,Africa
NIU,Niue,Upper middle income,
MKD,North Macedonia,Upper middle income,Europe
MNP,Northern Mariana Islands,High income,
NOR,Norway,High income,Europe
PSE,occupied Palestinian territory,Low income,
OMN,Oman,High income,Eastern Mediterranean
PAK,Pakistan,Lower middle income,South-East Asia
PLW,Palau,High income,Western Pacific
PAN,Panama,Upper middle income,America
PNG,Papua New Guinea,Lower middle income,Western Pacific
PRY,Paraguay,Upper middle income,America
PER,Peru,Upper middle income,America
PHL,Philippines,Lower middle income,Western Pacific
POL,Poland,High income,Europe
PRT,Portugal,High income,Europe
PRI,Puerto Rico,High income,America
QAT,Qatar,High income,Eastern Mediterranean
ROU,Romania,Upper middle income,Europe
RUS,Russian Federation,Upper middle income,Europe
RWA,Rwanda,Low income,Africa
WSM,Samoa,Lower middle income,Western Pacific
SMR,San Marino,High income,Europe
STP,Sao Tome and Principe,Lower middle income,Africa
SAU,Saudi Arabia,High income,Eastern Mediterranean
SEN,Senegal,Lower middle income,Africa
SRB,Serbia,Upper middle income,Europe
SYC,Seychelles,High income,Africa
SLE,Sierra Leone,Low income,Africa
SGP,Singapore,High income,Western Pacific
SXM,Sint Maarten (Dutch part),High income,America
SVK,Slovak Republic,High income,Europe
SVN,Slovenia,High income,Europe
SLB,Solomon Islands,Lower middle income,Western Pacific
SOM,Somalia,Low income,Africa
ZAF,South Africa,Upper middle income,Africa
SSD,South Sudan,Low income,Africa
ESP,Spain,High income,Europe
LKA,Sri Lanka,Lower middle income,South-East Asia
KNA,St. Kitts and Nevis,High income,America
LCA,St. Lucia,Upper middle income,America
VCT,St. Vincent and the Grenadines,Upper middle income,America
SDN,Sudan,Low income,Africa
SUR,Suriname,Upper middle income,America
SWE,Sweden,High income,Europe
